Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
342157,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
347564,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
348122,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
369200,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
382681,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
386847,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
401942,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
401956,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
405455,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
407737,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
409484,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
415955,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
432032,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
434167,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
434474,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
434804,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
435588,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
436444,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
200396,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
275650,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
338755,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
357529,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
358916,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
364279,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
374167,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
374219,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
375206,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
378685,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
382185,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
389078,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
395808,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
403566,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
421709,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
422705,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
422965,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
424994,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
430952,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
432957,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
314700,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
331886,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
339819,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
366398,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
382804,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
389203,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
391563,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
393115,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
